  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
        0        0.000        4.888            0      388.972      324.396       21.724
        1        0.712        4.748            0      388.666      336.671       23.609
        2        0.835        4.632            0      386.814      341.733       23.867
        3        0.725        4.647            0      387.102      344.600       23.774
        4        0.596        4.914            0      387.623      348.835       23.331
        5        0.485        4.749            0      391.495      337.912       22.946
        6        0.580        4.849            0      388.073      339.267       23.126
        7        0.537        4.892            0      391.731      330.996       26.448
        8        0.722        4.635            0      390.824      348.131       22.866
        9        0.692        4.737            0      387.660      382.214       24.174
       10        0.710        4.648            0      386.282      364.340       21.739
       11        0.880        4.667            0      388.591      394.096       26.177
       12        0.496        4.871            0      394.176      369.831       22.528
       13        0.632        4.718            0      386.675      371.634       24.116
       14        1.163        4.420            0      380.925      366.275       24.019
       15        1.110        4.353            0      375.972      344.219       22.840
       16        0.846        4.492            0      385.765      372.154       22.744
       17        1.404        4.195            0      375.769      362.359       21.123
       18        1.401        4.493            0      386.258      357.404       27.581
       19        0.533        4.745            0      387.889      357.021       23.242
       20        0.956        4.385            0      376.809      401.600       20.212
       21        0.944        4.338            0      376.839      336.221       18.229
       22        0.779        4.507            0      381.243      338.261       21.560
       23        1.673        3.968            0      362.268      358.670       21.549
       24        0.823        4.460            0      380.012      347.523       20.273
       25        0.940        4.836            0      392.196      334.064       22.304
       26        1.632        5.042            0      391.196      338.297       21.401
       27        1.519        5.264            0      395.353      332.601       21.550
       28        1.368        5.202            0      395.374      327.688       25.891
       29        1.478        5.255            0      393.741      307.278       20.929
       30        1.484        5.155            0      397.098      354.033       22.941
       31        1.192        4.997            0      391.263      358.029       22.010
       32        1.138        4.650            0      391.088      343.759       20.210
       33        1.383        5.035            0      392.192      370.986       23.617
       34        1.284        4.973            0      394.519      337.226       26.233
       35        1.493        4.791            0      390.503      366.339       25.176
       36        1.581        5.005            0      394.784      340.555       22.225
       37        1.205        5.036            0      399.837      375.978       25.604
       38        0.876        4.844            0      392.206      360.900       24.469
       39        1.223        5.001            0      390.647      357.250       26.996
       40        1.271        5.166            0      396.290      348.497       22.713
       41        1.494        5.067            0      392.227      342.005       23.977
       42        0.884        4.822            0      392.052      339.258       25.832
       43        1.387        5.110            0      393.956      349.956       21.306
       44        1.536        5.146            0      391.287      359.590       24.136
       45        1.261        4.982            0      396.829      421.840       24.535
       46        1.143        4.926            0      391.317      381.125       24.626
       47        1.640        5.147            0      393.267      368.724       21.463
       48        1.535        5.167            0      396.798      373.419       23.180
       49        1.831        5.279            0      392.235      360.236       18.700
       50        1.469        5.132            0      390.739      368.232       21.685
       51        1.373        5.082            0      393.354      378.908       22.972
       52        1.270        5.194            0      396.519      402.084       19.860
       53        1.345        5.126            0      388.990      420.907       22.309
       54        1.215        5.069            0      392.183      418.660       22.812
       55        1.439        5.243            0      396.021      442.737       23.098
       56        1.573        4.919            0      387.588      412.130       24.237
       57        1.616        5.148            0      394.780      412.326       21.272
       58        1.853        5.107            0      385.929      397.538       22.598
       59        1.556        5.014            0      388.559      401.810       21.904
       60        1.626        5.323            0      393.128      401.878       23.872
       61        1.935        4.781            0      385.964      452.692       22.562
       62        1.700        4.993            0      389.901      490.926       22.463
       63        1.737        4.843            0      384.721      409.607       25.441
       64        1.749        4.838            0      383.785      417.276       26.503
       65        1.809        5.115            0      395.312      386.604       20.137
       66        1.448        4.867            0      384.473      375.291       26.118
       67        1.622        4.894            0      391.219      375.883       20.469
       68        2.134        4.930            0      388.495      364.713       24.144
       69        1.611        4.854            0      391.419      420.161       22.688
       70        1.432        4.894            0      385.650      396.085       26.053
       71        1.633        4.919            0      390.859      416.499       21.306
       72        1.848        5.087            0      390.282      411.694       24.519
       73        1.711        4.997            0      391.192      436.282       23.205
       74        1.749        5.109            0      394.961      398.157       21.741
       75        1.753        5.251            0      394.566      443.051       23.743
       76        1.613        5.141            0      392.865      459.728       22.240
       77        1.636        5.089            0      388.166      387.985       21.111
       78        1.516        5.110            0      392.901      417.984       26.346
       79        1.754        5.308            0      394.661      374.560       21.376
       80        1.599        5.010            0      386.024      383.191       23.396
       81        1.704        5.039            0      394.082      361.877       23.701
       82        1.794        5.114            0      392.896      390.421       21.642
       83        1.508        4.913            0      386.468      403.494       25.324
       84        1.671        4.634            0      375.045      364.828       27.312
       85        1.601        5.042            0      390.800      426.698       21.463
       86        1.710        5.123            0      395.825      437.853       26.489
       87        1.517        5.238            0      394.302      420.556       22.753
       88        1.566        5.142            0      393.059      414.000       19.713
       89        1.707        5.210            0      397.895      418.822       26.118
       90        1.788        5.288            0      400.031      410.889       21.081
       91        1.860        5.121            0      393.136      425.818       26.156
       92        1.767        5.359            0      390.837      402.885       20.311
       93        1.653        5.371            0      390.605      411.437       21.872
       94        1.791        5.383            0      391.961      391.383       22.554
       95        1.765        5.326            0      390.457      398.237       20.146
       96        2.100        5.190            0      386.874      414.342       18.561
       97        1.792        5.342            0      394.414      434.028       22.866
       98        1.884        5.126            0      391.383      436.422       22.859
       99        2.167        5.248            0      390.897      442.228       27.116
      100        1.761        5.163            0      396.259      460.860       21.518
      101        1.966        4.992            0      391.804      409.887       21.091
      102        1.759        5.082            0      391.551      441.097       22.201
      103        1.727        5.143            0      394.034      466.331       20.715
      104        1.827        5.125            0      393.375      427.382       23.200
      105        1.857        5.116            0      397.816      434.442       22.723
      106        2.074        5.221            0      394.884      436.342       23.244
      107        1.496        5.214            0      396.902      418.206       21.688
      108        1.391        5.263            0      394.645      393.195       22.453
      109        1.687        5.246            0      395.782      443.349       23.626
      110        1.534        5.237            0      391.021      437.344       21.738
      111        1.514        5.290            0      393.475      404.616       21.364
      112        1.472        5.295            0      396.863      423.995       20.729
      113        1.534        5.329            0      397.568      417.284       22.389
      114        1.759        5.338            0      394.505      444.609       21.676
      115        1.828        5.262            0      391.502      402.136       21.818
      116        1.924        5.286            0      397.000      426.205       21.262
      117        1.871        5.159            0      391.166      446.070       25.793
      118        2.049        5.147            0      389.719      406.379       22.623
      119        1.713        5.322            0      396.609      419.389       21.758
      120        1.305        5.258            0      391.470      418.800       27.177
      121        1.551        5.127            0      392.350      424.929       21.158
      122        1.543        5.314            0      396.352      401.694       22.155
      123        1.408        5.262            0      395.785      398.124       18.775
      124        1.495        5.228            0      398.656      428.011       22.909
      125        1.475        5.145            0      394.092      410.656       24.223
      126        1.667        5.257            0      395.918      415.044       22.903
      127        1.308        5.305            0      398.101      389.613       23.361
      128        1.476        5.320            0      399.512      416.798       22.957
