   # Atom# PDBResName  wrt_Protein   wrt_Ligand 
         1                  10.250        1.259
         2                  10.811        1.599
         3                  10.992        1.550
         4                  10.594        1.085
         5                  10.122        0.818
         6                  10.026        0.435
         7                  10.373        0.624
         8                  10.382        0.982
         9                  10.879        1.415
        10                  11.115        2.000
        11                  11.126        1.977
        12                  11.114        1.997
        13                  10.071        1.095
        14                   9.782        0.753
        15                   9.737        0.354
        16                   9.568        0.486
        17                   9.159        0.703
        18                   9.479        1.195
        19                   9.264        1.403
        20                   9.424        1.067
        21                   9.097        1.438
        22                   9.475        0.829
        23                  10.191        0.575
        24                  10.486        1.332
        25                  10.673        0.668
        26                  11.570        0.871
        27                  11.404        0.727
        28                  11.522        1.543
        29                  11.209        1.539
        30                  11.603        1.501
        31                  12.537        1.850
        32                  12.944        2.562
        33                  12.989        2.561
        34                  12.838        2.504
