## Torsion are defined with the following atomIDs:
# dihed1: ai= 2452 aj= 2449 ak= 2448 al= 2447
# dihed2: ai= 2449 aj= 2448 ak= 2447 al= 2445
# dihed3: ai= 2447 aj= 2448 ak= 2453 al= 2455
# dihed4: ai= 2448 aj= 2447 ak= 2445 al= 2444
# dihed5: ai= 2447 aj= 2445 ak= 2444 al= 2443
# dihed6: ai= 2442 aj= 2439 ak= 2438 al= 2437
# dihed7: ai= 2439 aj= 2438 ak= 2437 al= 2436
# dihed8: ai= 2429 aj= 2428 ak= 2427 al= 2423
# dihed9: ai= 2435 aj= 2430 ak= 2431 al= 2433
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7   dihed8   dihed9
0  159.539   60.955   78.932  165.781 -170.253   81.136  101.194  -52.124  -65.762
1  172.502   78.813   94.574  175.315 -165.223   88.111   90.427  -40.548  -97.464
2  170.092   75.425   94.451  169.335  170.011   82.766   90.388  -40.014  139.320
3  170.872   68.410   87.071 -171.603  172.832   81.887   96.145  -48.021  113.111
4 -179.892   84.935   88.384  175.223  179.769   82.043  112.952  -35.559   66.477
5  157.539   80.915   69.110 -170.012  173.636   84.789   92.953  -57.045  -99.444
6  155.399   57.673   83.007 -171.072 -179.569   78.380   77.663  -66.820  127.743
7  162.389   72.416   95.776  173.095  176.726   79.480   90.272  -49.031  143.154
8  145.172   57.520   77.183 -168.983 -168.624   80.788   83.858  -59.408   36.637
9  164.494   57.629   79.193 -175.337  167.590   72.336   98.798  -52.001   21.118
10  166.871   64.153  100.713 -177.506 -171.117   73.402   90.726  -60.413   41.090
11  154.247   65.261   61.129  170.303 -173.522   55.520   90.157  -35.149  -75.170
12  152.171   70.969   75.025 -176.105  173.572   71.763  105.741  -24.399  -54.774
13  163.038   69.600   84.595  165.267  164.950   74.087   82.538  -48.726  -57.387
14  164.485   47.054   47.998  165.236  176.480   85.713   92.549  -51.345   19.039
15  168.554   72.921   80.930  160.155  175.795   75.772   84.780  -40.791  161.367
