  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
        0        0.000        4.787            0      505.378      380.758       65.572
        1        0.812        4.816            0      507.235      409.180       74.963
        2        0.670        4.757            0      500.786      417.954       77.859
        3        0.657        4.705            0      498.719      396.419       72.752
        4        0.865        4.817            0      507.604      425.101       78.533
        5        1.052        4.644            0      488.415      353.730       75.309
        6        0.986        4.574            0      483.881      386.109       83.158
        7        1.052        4.828            0      502.247      410.202       79.805
        8        1.145        4.988            0      521.788      421.327       80.845
        9        0.955        5.005            0      521.073      422.268       80.587
       10        0.878        4.982            0      525.459      467.401       77.664
       11        1.201        5.016            0      519.001      433.900       84.628
       12        1.295        4.950            0      507.367      438.184       84.947
       13        0.869        4.870            0      522.020      411.587       82.001
       14        1.087        4.863            0      513.019      444.870       87.393
       15        1.042        4.851            0      514.307      438.113       81.653
       16        0.866        4.827            0      506.685      437.024       84.153
       17        0.770        4.928            0      525.289      424.891       79.225
       18        0.918        4.814            0      521.140      462.149       81.540
       19        0.984        4.862            0      516.335      472.610       82.454
       20        0.906        4.810            0      518.873      456.860       80.236
       21        0.826        4.953            0      522.340      460.763       73.219
       22        0.908        4.835            0      508.838      448.080       84.928
       23        1.176        5.036            0      517.453      424.886       76.508
       24        1.034        4.979            0      518.441      449.371       69.955
       25        1.155        4.877            0      507.828      395.756       85.839
       26        0.868        4.896            0      509.204      418.336       76.199
       27        0.767        4.743            0      491.425      414.525       81.221
       28        1.049        4.986            0      514.688      468.141       78.379
       29        0.900        4.899            0      515.403      457.702       81.382
       30        0.941        4.928            0      521.191      423.232       83.026
       31        0.766        4.945            0      525.365      455.076       81.683
       32        1.079        4.909            0      515.338      440.689       90.036
       33        0.802        4.961            0      523.196      461.449       75.280
       34        0.801        4.933            0      520.976      459.857       76.343
       35        0.967        4.865            0      514.984      440.437       79.641
       36        1.133        4.892            0      506.863      449.054       86.637
       37        1.331        4.915            0      511.126      434.668       83.729
       38        1.015        4.864            0      511.188      445.096       82.557
       39        0.943        4.678            0      495.957      416.828       82.746
       40        0.996        4.887            0      511.315      437.727       82.461
       41        1.135        4.887            0      520.783      416.227       78.493
       42        1.216        4.757            0      510.199      431.121       86.368
       43        1.388        4.756            0      513.793      489.528       88.170
       44        1.048        4.949            0      530.244      470.482       76.732
       45        1.135        4.914            0      524.683      436.699       76.504
       46        1.017        4.848            0      518.638      457.775       77.561
       47        1.012        4.844            0      516.342      437.844       74.767
       48        1.142        4.906            0      510.979      476.428       84.218
       49        0.990        4.843            0      518.770      491.641       78.718
       50        0.977        4.822            0      517.437      431.968       75.949
       51        1.033        4.891            0      520.864      439.440       80.015
       52        1.128        4.891            0      514.863      461.505       77.880
       53        0.907        4.867            0      519.405      490.683       71.602
       54        1.003        4.972            0      519.339      463.005       80.359
       55        1.087        4.908            0      513.569      458.836       80.906
       56        1.212        4.899            0      513.380      474.523       84.192
       57        1.095        4.890            0      511.646      443.575       81.379
       58        0.886        5.062            0      518.161      523.927       69.146
       59        1.009        4.872            0      518.604      479.847       77.380
       60        1.073        4.833            0      511.232      517.724       79.642
       61        0.843        4.846            0      511.379      473.227       87.726
       62        0.747        4.808            0      509.365      468.632       77.110
       63        1.092        4.826            0      513.008      461.496       84.557
       64        0.940        4.793            0      507.736      460.054       75.737
       65        0.968        4.845            0      516.183      505.503       78.380
       66        0.906        4.908            0      518.929      540.267       71.997
       67        0.863        4.908            0      521.280      521.447       77.004
       68        1.300        4.989            0      525.001      533.439       76.712
       69        1.092        4.784            0      516.142      466.162       79.061
       70        0.893        4.788            0      504.679      487.892       82.890
       71        0.799        4.753            0      505.048      465.923       76.167
       72        1.243        4.639            0      494.511      507.743       91.623
       73        1.501        4.646            0      499.599      533.111       85.317
       74        1.397        4.750            0      500.280      546.688       85.810
       75        1.646        4.754            0      506.880      493.979       79.739
       76        1.833        4.839            0      493.512      494.989       88.474
       77        1.563        4.827            0      504.167      529.897       87.057
       78        1.460        4.765            0      497.357      507.934       89.249
       79        1.296        5.027            0      520.421      533.736       81.821
       80        1.180        4.972            0      513.159      528.941       83.821
       81        1.189        4.878            0      511.438      514.834       86.524
       82        1.400        5.055            0      515.414      548.107       86.118
       83        1.089        4.898            0      522.264      515.001       80.035
       84        1.234        4.808            0      514.499      531.505       81.721
       85        1.497        4.865            0      504.696      505.674       74.780
       86        1.266        4.873            0      520.875      531.256       80.364
       87        1.089        4.902            0      525.751      522.041       80.518
       88        1.374        4.884            0      516.176      588.396       78.207
       89        1.642        4.876            0      507.818      544.499       82.409
       90        1.629        4.935            0      505.467      594.349       79.169
       91        1.644        4.934            0      513.681      556.891       80.327
       92        1.535        4.731            0      505.654      518.105       80.257
       93        1.225        4.779            0      505.089      508.600       78.169
       94        1.253        4.663            0      486.979      540.777       76.393
       95        1.793        4.692            0      489.097      516.472       80.659
       96        1.593        4.717            0      487.854      512.066       81.001
       97        1.544        4.627            0      484.922      582.084       81.981
       98        1.812        4.770            0      504.558      540.923       79.568
       99        2.133        4.699            0      491.230      528.081       85.691
      100        1.976        4.803            0      505.725      526.930       81.772
      101        1.669        4.523            0      493.092      494.133       78.434
      102        2.018        4.714            0      497.658      530.447       84.122
      103        1.900        4.553            0      492.040      523.762       77.418
      104        1.813        4.547            0      480.999      500.711       86.565
      105        1.833        4.644            0      513.769      515.023       76.436
      106        1.932        4.773            0      515.970      553.047       76.045
      107        1.738        4.613            0      518.584      512.314       79.803
      108        1.754        4.534            0      485.061      515.859       86.943
      109        1.832        4.839            0      510.940      510.466       82.021
      110        2.035        4.759            0      503.475      479.344       85.729
      111        1.721        4.774            0      513.849      535.329       82.696
      112        1.728        4.889            0      524.461      600.632       78.392
      113        1.506        4.866            0      524.124      579.556       78.968
      114        2.026        5.044            0      516.192      514.387       87.707
      115        1.799        5.041            0      513.806      592.382       83.816
      116        1.600        4.906            0      525.985      589.369       76.344
      117        1.507        4.816            0      526.860      559.628       84.756
      118        1.532        4.783            0      520.447      523.093       80.072
