   # Atom# PDBResName  wrt_Protein   wrt_Ligand 
         1                   2.131        2.408
         2                   1.879        1.646
         3                   1.868        1.196
         4                   1.963        1.833
         5                   2.374        2.888
         6                   2.834        3.301
         7                   2.830        2.730
         8                   2.334        1.691
         9                   1.909        1.121
        10                   1.768        0.812
        11                   1.891        1.498
        12                   1.813        1.484
        13                   2.275        2.445
        14                   2.543        3.386
        15                   2.439        3.385
        16                   2.072        2.425
        17                   2.128        2.470
        18                   2.005        1.637
        19                   2.476        1.728
        20                   2.727        1.287
        21                   3.777        2.222
        22                   4.687        3.228
        23                   4.723        3.691
        24                   5.909        4.135
        25                   6.915        5.182
        26                   2.279        0.478
        27                   2.606        1.164
        28                   2.951        1.764
        29                   2.730        1.983
        30                   3.108        2.498
        31                   3.656        3.642
        32                   4.143        4.288
        33                   4.339        4.410
        34                   2.169        0.976
        35                   2.170        1.420
        36                   2.943        2.378
        37                   3.742        2.989
        38                   4.282        3.328
        39                   4.704        3.732
        40                   4.710        3.762
        41                   4.709        3.786
