## Torsion are defined with the following atomIDs:
# dihed1: ai= 2447 aj= 2446 ak= 2444 al= 2443
# dihed2: ai= 2446 aj= 2444 ak= 2443 al= 2442
# dihed3: ai= 2444 aj= 2443 ak= 2442 al= 2448
# dihed4: ai= 2442 aj= 2448 ak= 2449 al= 2450
# dihed5: ai= 2450 aj= 2449 ak= 2451 al= 2452
# dihed6: ai= 2449 aj= 2451 ak= 2452 al= 2453
# dihed7: ai= 2451 aj= 2452 ak= 2453 al= 2455
# dihed8: ai= 2456 aj= 2457 ak= 2458 al= 2459
# dihed9: ai= 2457 aj= 2458 ak= 2459 al= 2460
# dihed10: ai= 2458 aj= 2459 ak= 2460 al= 2462
# dihed11: ai= 2441 aj= 2440 ak= 2439 al= 2438
# dihed12: ai= 2440 aj= 2439 ak= 2438 al= 2437
# dihed13: ai= 2434 aj= 2433 ak= 2432 al= 2431
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7   dihed8   dihed9  dihed10  dihed11  dihed12  dihed13
0 -121.399 -157.508 -159.435   92.100   68.212  150.503  146.627   64.630   81.597   58.015  114.827 -156.392 -156.888
1 -178.751  176.765 -132.374   84.122   44.214  163.729  157.297   27.743   66.835  -84.059  119.314 -161.157 -169.395
2  156.920 -178.673 -136.239  111.393   46.855  170.486  111.827   21.408   71.016   26.732  107.243 -160.505 -164.400
3  159.691 -156.281 -143.261  116.873   64.995 -164.870   72.003   27.476   90.260  150.226  116.921 -147.317 -174.900
4  164.280 -178.188 -132.875   92.611   55.442 -173.630  136.924   -4.413   83.184  106.786  104.812 -132.624 -175.560
5  174.178  175.082 -145.373   98.294   56.159  148.464  157.474   13.828   75.563  124.427  125.110 -147.252 -149.382
6   22.787 -171.450 -154.761   96.031   51.483  156.635  155.589   22.003   53.145    8.854  113.076 -148.259 -147.356
7  -88.167 -173.245 -161.163   71.790   46.573  177.099  141.348   31.112   57.137  139.454  130.723 -139.491 -153.697
8 -121.585 -163.117 -147.663  106.950   53.793  173.886   73.577   -5.448   86.506 -170.575  125.131 -154.660 -142.409
9 -142.341 -170.569 -145.029   77.695   60.658 -176.053   82.794   10.655   75.371   36.243  139.959 -179.812 -141.543
10 -133.117 -171.265 -153.568  112.708   51.324 -169.585   66.645   35.125   74.342  179.872  133.403 -176.836 -142.432
11 -132.483  167.936 -102.057  113.884   41.804  162.372   66.218  -14.318   81.934  130.903  122.588 -157.694 -134.581
12 -148.841  173.739 -117.775   63.556   75.251 -171.197   78.108  -25.854  102.274   90.785  114.249 -147.442 -128.204
13 -144.204  166.826  -65.345  114.081   43.068  168.018   51.382   26.074   73.640  168.757  135.652  177.622 -157.039
14  -81.911  177.338 -130.589   72.369 -163.462  177.779  102.560  -15.812   92.835 -141.982  137.912  161.949 -126.079
15 -113.686  179.782 -132.699   62.077 -149.175 -176.379   46.257    2.858   65.185  144.601  125.047 -178.136 -139.195
16 -129.365  176.071 -111.983   86.082 -177.827 -174.720  145.793    2.193   77.780  140.056  125.575 -168.494 -151.951
17  112.572 -179.026 -119.838   81.474 -166.731 -176.455   61.703   -2.148  103.943  -67.314  121.887 -174.556 -147.392
18  133.955 -173.139 -136.221   75.794 -162.744 -174.339   45.516    2.935   70.699 -103.133  130.667  173.153 -122.021
19  123.158 -163.795 -128.933   94.732 -172.238  151.077   56.091    2.660   64.284  138.542  111.821 -170.932 -139.427
20  110.453 -178.976 -112.683   79.712 -174.375 -174.766   60.244    9.582   79.683 -179.649  115.441 -155.889 -150.277
21 -149.517 -175.174 -159.486   70.920 -176.421  171.516   65.743    6.656   85.876   30.047  141.345  175.840 -139.340
22 -107.544 -168.799 -123.550   70.518 -165.921 -167.038   73.504    5.276   74.122  120.562  100.867 -145.697 -146.637
23 -157.559 -166.301 -145.972   87.593 -173.849  169.064   66.710   13.020   64.230  156.569  155.283  167.390 -145.356
24  169.892 -174.758 -159.638   88.546  176.459  175.243   95.586   16.010   82.491  115.103  136.333 -164.047 -138.294
25  -94.987  174.572 -127.643   85.760 -175.147 -179.697   56.748  -15.213  101.829   65.089   90.337 -128.362 -164.185
26 -153.503 -179.995 -136.883   88.260 -172.937 -167.341   85.305    7.583   73.076  125.999  139.681 -172.133 -156.746
27  166.407  171.564 -127.677   81.826 -171.359 -158.144   47.394   15.611   79.447   36.432  118.616 -173.389 -146.876
28  155.646  160.579 -130.353   76.964 -164.218  170.588   63.350    5.832   88.317    7.578  144.155 -176.814 -159.934
29 -143.211  175.173 -118.688   59.788 -156.628  164.312   69.358    1.606   71.665    0.061  131.510  173.289 -129.643
30 -147.139 -175.883 -138.703   81.516 -171.364  175.256   77.216  -15.693   86.384 -103.144  141.635  154.911 -136.786
31 -131.937 -164.464 -144.488   68.029 -163.686  175.369   54.999    6.474   81.593 -174.987  121.976  178.268 -151.659
32  -77.404  176.144 -130.046   63.435 -174.022  153.691   72.116    5.218   74.596  -23.434  115.284 -149.989 -131.766
33 -144.079  177.718 -136.835   80.761 -159.685  178.569   85.237   26.712   68.296  -69.052  106.765 -144.845 -163.621
34 -143.415 -168.165 -134.551   87.745  174.386  162.542   80.322   24.011   91.691   22.596  122.392 -173.871 -146.179
35 -146.286 -168.072 -145.783   76.098 -159.892  166.583   76.418    1.547   75.005  160.635  134.355 -179.794 -148.014
