  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
        0        0.000        5.274            0      506.059      428.085       88.551
        1        1.159        5.328            0      497.306      447.514       85.005
        2        1.265        5.317            0      504.386      457.621       91.450
        3        1.253        5.177            0      503.759      465.742       88.821
        4        1.453        5.145            0      491.292      467.475       91.408
        5        1.387        5.152            0      496.238      489.370       91.420
        6        1.529        5.249            0      505.331      471.055       87.311
        7        1.313        5.481            0      503.750      442.883       86.793
        8        1.387        5.295            0      500.504      452.203       87.137
        9        1.577        5.219            0      491.413      454.359       90.119
       10        1.575        5.294            0      504.713      480.369       88.926
       11        1.633        5.383            0      500.589      427.451       87.886
       12        1.568        5.454            0      515.132      412.769       87.877
       13        1.703        5.427            0      508.399      376.483       91.418
       14        1.832        5.380            0      505.653      380.340       86.969
       15        2.066        5.294            0      493.335      376.628       87.105
       16        1.799        5.228            0      498.826      356.039       95.460
       17        1.785        5.439            0      498.589      377.149       96.636
       18        1.676        5.233            0      497.822      419.098       88.607
       19        1.777        5.275            0      497.615      388.940       94.047
       20        1.801        5.392            0      504.036      414.161       88.261
       21        1.362        5.278            0      503.069      472.833       88.072
       22        1.518        5.373            0      500.836      436.947       94.997
       23        1.720        5.311            0      495.991      417.197       90.836
       24        1.654        5.356            0      508.077      424.507       87.136
       25        1.579        5.434            0      501.671      373.810       83.827
       26        1.320        5.381            0      501.044      418.623       85.577
       27        1.366        5.060            0      499.020      415.233       87.306
       28        1.094        5.250            0      505.060      438.152       88.642
       29        1.367        5.098            0      496.017      424.901       85.936
       30        1.248        5.353            0      502.481      432.095       80.737
       31        1.458        5.302            0      509.301      445.888       85.277
       32        1.344        5.145            0      502.593      415.750       90.799
       33        1.294        5.397            0      508.009      430.972       86.063
       34        1.121        5.229            0      504.629      392.944       92.655
       35        1.218        5.456            0      502.164      410.383       85.062
       36        1.322        5.387            0      513.809      419.148       82.236
       37        1.326        5.274            0      506.562      442.192       83.723
       38        1.551        5.205            0      504.391      425.344       82.023
       39        1.213        5.267            0      505.361      445.415       85.076
       40        1.031        5.381            0      505.143      446.298       90.175
       41        1.104        5.353            0      502.265      390.393       88.827
       42        1.178        5.388            0      509.302      395.170       83.061
       43        0.635        5.362            0      506.730      430.480       82.317
       44        1.124        5.367            0      510.559      433.864       88.859
       45        0.735        5.366            0      508.527      418.503       85.080
       46        1.068        5.466            0      501.085      390.234       78.027
       47        1.187        5.453            0      508.928      421.824       94.141
       48        1.232        5.285            0      504.092      386.409       92.330
       49        1.081        5.445            0      510.633      422.234       85.197
       50        0.964        5.406            0      505.065      441.618       88.073
       51        0.904        5.365            0      508.609      420.266       92.042
       52        0.880        5.391            0      507.365      430.138       90.128
       53        0.936        5.374            0      505.476      434.220       92.645
       54        1.326        5.518            0      504.108      458.100       91.089
       55        0.916        5.260            0      499.986      414.980       87.765
       56        1.327        5.465            0      511.918      425.997       83.916
       57        1.374        5.313            0      505.486      423.190       79.120
       58        1.194        5.365            0      507.012      393.100       83.564
       59        1.111        5.310            0      506.683      400.510       89.347
       60        1.129        5.454            0      506.930      433.784       87.320
       61        1.034        5.389            0      505.629      410.131       90.201
       62        1.106        5.355            0      502.862      441.015       89.828
       63        1.115        5.422            0      512.630      416.157       85.497
       64        0.855        5.461            0      504.171      418.778       86.090
       65        1.262        5.438            0      506.714      438.737       84.392
       66        1.092        5.479            0      516.093      402.511       84.270
       67        0.973        5.411            0      503.856      401.932       92.831
       68        0.869        5.207            0      499.007      416.116       91.750
       69        1.118        5.436            0      504.226      412.157       88.030
       70        0.923        5.371            0      506.826      424.262       87.660
       71        1.443        5.224            0      499.233      405.727       89.524
       72        1.350        5.368            0      509.981      419.723       86.192
