   # Atom# PDBResName  wrt_Protein   wrt_Ligand 
         1                  13.504        1.486
         2                  14.478        1.857
         3                  14.346        1.996
         4                  13.275        1.636
         5                  12.613        0.801
         6                  11.870        0.883
         7                  10.595        0.701
         8                  10.021        1.289
         9                   8.791        1.283
        10                  10.027        1.349
        11                   8.806        1.289
        12                   8.097        0.560
        13                   6.844        0.569
        14                   6.368        0.485
        15                   6.216        0.571
        16                   6.580        0.859
        17                   5.899        0.614
        18                   6.518        0.858
        19                   7.532        1.184
        20                   6.430        1.107
        21                   5.876        1.147
        22                   5.322        1.100
        23                   5.249        0.879
        24                   4.883        1.186
        25                   6.449        0.608
        26                   6.095        0.763
        27                   6.398        0.792
        28                   6.326        0.699
        29                   6.891        0.864
        30                   7.575        1.132
        31                   6.846        0.806
        32                   6.436        0.598
        33                   5.465        0.599
        34                   7.277        1.003
        35                   7.207        1.144
        36                   6.353        1.006
        37                   6.741        1.461
        38                   5.440        0.841
        39                   4.827        1.372
        40                   4.886        2.003
        41                   4.888        2.006
        42                   4.865        1.992
