## Torsion are defined with the following atomIDs:
# dihed1: ai= 2462 aj= 2461 ak= 2460 al= 2458
# dihed2: ai= 2455 aj= 2454 ak= 2453 al= 2451
# dihed3: ai= 2454 aj= 2453 ak= 2451 al= 2450
# dihed4: ai= 2453 aj= 2451 ak= 2450 al= 2449
# dihed5: ai= 2436 aj= 2435 ak= 2434 al= 2431
# dihed6: ai= 2447 aj= 2436 ak= 2437 al= 2439
# dihed7: ai= 2436 aj= 2437 ak= 2439 al= 2440
# dihed8: ai= 2430 aj= 2429 ak= 2428 al= 2427
# dihed9: ai= 2429 aj= 2428 ak= 2427 al= 2423
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7   dihed8   dihed9
0  133.339  -72.341  -28.526  109.280 -150.808  -11.084  116.380 -157.970   74.972
1   56.425 -116.929   -1.884  120.563 -146.719  -29.788  110.608 -145.746  128.542
2  -54.498  -96.183   -8.011  122.524 -155.389  -25.608  112.322 -147.063   67.001
3  -83.480  -98.354    3.875  145.830 -150.049  -17.347  109.550 -138.035   82.443
4  -86.735 -106.510    0.415  129.649 -162.003   -9.431  102.641 -163.696   66.405
5  -52.530  -95.417  -15.803  138.983 -153.239    5.546   85.398 -173.797   75.048
6   26.868 -100.098   -6.085  139.132 -135.325  -16.694  110.543  167.382   75.595
7  113.546 -120.061   -5.259  107.998 -129.444    4.429   81.931  143.073  179.287
8  169.075 -107.130  -15.498  148.047 -154.999  -19.997  126.351 -148.734  145.707
9 -156.435 -114.994   14.224  121.363 -168.427  -31.206  127.548 -161.411   77.252
10  -50.233 -124.523   20.899  123.145 -148.949   -8.336  115.184 -148.841  159.268
11  -58.756 -134.670  -12.628  134.581 -168.011  -17.569   83.961  169.403   68.315
12  -71.057 -137.561   14.937  113.696 -152.745  -14.423  102.460  128.630  125.850
13  -51.961 -125.988   -0.112  117.390 -142.656    1.797   74.423  114.606  155.875
14  167.413 -139.772    1.800  120.577 -164.169  -17.148  117.748  127.813  134.727
15  -68.790 -133.277  -13.816  126.078 -174.833    0.311   73.493  154.842  173.097
16  160.517 -107.032  -10.098  136.095 -141.821  -26.844  104.368  140.545 -164.135
17 -100.487 -145.345   -0.640  118.506 -131.477   16.792   76.987  123.877 -149.088
18   68.604 -114.939    4.087  125.013 -140.334    1.987   85.387  115.194  108.355
19 -107.134 -129.958   -4.014  123.956 -146.547   -1.819   94.135  118.525  154.664
20  -65.036 -148.189    5.051  114.322 -131.865  -17.175   78.697  128.578  157.359
21  165.649 -107.314  -12.940  132.455 -125.413   -7.086   91.171 -172.793   71.460
22  175.355 -129.366   -4.824  122.821 -148.346  -11.027   96.112  121.098  143.493
23  -75.634 -140.868    4.345  128.004 -126.204   11.347   92.635  106.380  179.205
24  -50.494 -108.428  -17.912  135.560 -149.340  -31.790  109.854  163.776 -171.215
25  158.313 -121.012   -7.187  122.510 -122.587   -4.477   91.780  133.760   94.248
26  171.275  -95.463  -26.424  137.402 -137.810   16.870   79.060 -167.597  175.351
27  151.661  -66.387  -34.825  168.884 -116.611   28.874   82.495 -138.079   57.474
28 -178.313  -77.588  -27.469  139.842 -122.581    3.872   95.757 -143.404   87.752
29  175.099  -67.407  -29.008  154.226 -122.752    3.924   86.469 -136.337   53.394
30  -55.921  -90.808  -12.569  121.845 -104.455   29.345   74.245  170.773   94.812
31  -59.495 -113.871   13.185  124.429  -99.158   18.414   56.877 -161.492   62.298
32  -93.767  -95.596   -7.320  139.742 -116.849   -9.788   78.645 -124.790   58.781
33  -75.102 -117.336   -2.700  113.202  -70.497    4.667   70.825 -152.962  166.031
34  -80.784  -86.335  -14.979  125.956  -95.570   28.513   63.062 -127.879   77.804
35  165.486 -122.294    9.351  103.648 -103.262    6.288   96.424 -156.841   70.150
