  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
        0        0.000        5.642            0      505.916      457.279       56.654
        1        0.605        5.628            0      502.953      487.854       53.570
        2        0.538        5.651            0      501.567      509.470       59.015
        3        0.722        5.494            0      502.312      497.086       55.484
        4        0.689        5.731            0      499.412      512.946       59.266
        5        0.561        5.655            0      499.413      526.752       58.905
        6        0.872        5.725            0      496.574      495.879       55.021
        7        0.785        5.669            0      503.793      544.594       53.094
        8        0.625        5.647            0      503.011      495.397       58.476
        9        0.686        5.764            0      503.988      498.489       58.982
       10        0.829        5.810            0      507.090      509.880       56.007
       11        0.720        5.742            0      507.926      523.736       57.113
       12        0.921        5.717            0      502.185      449.395       54.902
       13        0.992        5.634            0      500.957      479.749       50.797
       14        1.199        5.748            0      502.553      475.901       51.541
       15        1.346        5.629            0      492.526      504.738       57.334
       16        1.155        5.641            0      493.321      487.362       54.410
       17        1.245        5.622            0      498.288      475.269       54.661
       18        1.420        5.829            0      501.090      540.280       56.860
       19        1.631        5.737            0      502.383      498.906       52.895
       20        1.734        5.655            0      499.420      510.096       50.762
       21        1.189        5.787            0      499.178      488.933       55.259
       22        1.502        5.771            0      500.785      476.560       57.491
       23        1.302        5.699            0      501.130      504.549       54.914
       24        1.303        5.753            0      502.613      490.539       54.825
       25        1.250        5.710            0      503.115      479.599       52.382
       26        1.176        5.747            0      500.863      485.998       55.477
       27        1.021        5.700            0      501.620      496.925       59.161
       28        1.020        5.699            0      506.107      472.502       53.867
       29        1.482        5.655            0      495.500      468.554       55.113
       30        1.209        5.696            0      497.489      448.062       56.413
       31        1.416        5.751            0      499.756      496.468       55.336
       32        1.263        5.787            0      499.029      483.711       51.501
       33        1.142        5.610            0      498.923      484.793       53.224
       34        1.514        5.783            0      500.726      486.012       54.400
       35        1.683        5.905            0      505.000      475.064       62.054
       36        1.194        5.777            0      501.322      477.103       52.658
       37        1.516        5.831            0      502.005      562.775       53.352
       38        1.196        5.687            0      501.131      479.484       51.450
       39        1.431        5.857            0      504.030      483.953       54.962
       40        1.286        5.825            0      501.546      503.259       53.409
       41        1.361        5.812            0      502.546      509.138       52.181
       42        1.745        5.695            0      499.951      486.877       54.081
       43        1.159        5.836            0      499.386      492.495       58.667
       44        1.263        5.863            0      502.649      490.651       57.138
       45        1.035        5.763            0      497.445      452.716       57.569
       46        1.072        5.791            0      505.251      476.005       53.282
       47        1.283        5.781            0      498.670      441.593       54.984
       48        0.778        5.687            0      498.057      462.819       52.925
       49        1.089        5.784            0      499.205      456.032       57.112
