   # Atom# PDBResName  wrt_Protein   wrt_Ligand 
         1                  21.637        1.973
         2                  21.497        1.932
         3                  21.557        2.903
         4                  21.575        3.566
         5                  21.762        4.497
         6                  21.530        3.604
         7                  21.469        2.858
         8                  21.453        1.782
         9                  21.541        1.316
        10                  21.656        0.925
        11                  21.886        1.141
        12                  22.113        0.859
        13                  22.142        1.423
        14                  22.487        1.523
        15                  22.419        1.203
        16                  22.756        1.429
        17                  22.769        1.083
        18                  23.116        1.787
        19                  23.529        2.599
        20                  23.210        2.415
        21                  21.988        1.905
        22                  21.840        2.305
        23                  21.633        1.460
        24                  21.610        1.853
        25                  21.586        2.483
        26                  21.706        2.010
        27                  21.913        2.631
        28                  21.747        2.302
        29                  21.659        3.360
        30                  21.837        1.284
        31                  22.051        1.497
        32                  21.844        1.221
        33                  22.058        1.310
        34                  22.204        2.401
        35                  22.306        3.021
        36                  22.316        3.026
        37                  22.289        3.038
        38                  22.265        1.422
        39                  22.265        1.562
        40                  22.632        2.690
        41                  22.782        3.294
        42                  22.797        3.297
        43                  22.809        3.296
