## Torsion are defined with the following atomIDs:
# dihed1: ai= 2428 aj= 2429 ak= 2430 al= 2431
# dihed2: ai= 2431 aj= 2432 ak= 2433 al= 2434
# dihed3: ai= 2435 aj= 2438 ak= 2439 al= 2440
# dihed4: ai= 2443 aj= 2444 ak= 2445 al= 2447
# dihed5: ai= 2444 aj= 2445 ak= 2447 al= 2448
# dihed6: ai= 2448 aj= 2447 ak= 2449 al= 2450
# dihed7: ai= 2450 aj= 2449 ak= 2451 al= 2452
# dihed8: ai= 2459 aj= 2460 ak= 2461 al= 2464
# dihed9: ai= 2453 aj= 2454 ak= 2455 al= 2458
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7   dihed8   dihed9
0  102.044  -49.057  172.937 -147.207   43.672 -177.348  101.994  101.487  136.975
1   89.684  -21.927  171.894 -130.410   66.203  178.519   95.082 -176.194   41.512
2  107.673  -49.241 -178.985 -144.597   70.669 -171.661   93.224 -163.132 -120.551
3  101.465  -40.650 -170.087 -124.953   38.978 -153.122   78.807 -132.842    6.161
4   95.874  -57.905 -167.598 -141.129   85.075  168.238   98.300 -131.589 -128.651
5  103.545  -49.872 -157.316 -151.327   75.038 -176.333  105.667  -15.451  -93.903
6  101.715  -62.526 -176.544 -172.454   73.794 -171.721  128.970  -83.236  -50.045
7   94.398  -89.751 -170.178 -131.302   48.001 -177.118  102.514 -124.958   11.198
8  101.746  -38.793 -160.051 -133.359   57.988  169.666  111.919  120.508 -178.194
9   94.769  -33.121 -166.424 -134.279   76.187  169.570  109.279  -56.596   45.568
10   96.705  -26.725 -175.972 -138.966   63.130 -176.350   76.091  -93.326 -163.940
11  107.801  -52.655 -163.906 -118.100   52.341 -168.952   64.665  104.852  145.769
12   95.152  -79.312 -176.263 -140.618   74.152 -171.312  120.887  -58.199  -52.895
13   99.827  -38.367 -174.078 -141.343   63.444 -168.652  136.483   66.174  175.354
14  100.932   72.783 -175.051 -135.924   45.311 -163.597   92.581  124.394  -23.990
15  101.049   65.691 -178.577 -148.402   64.373 -175.691  127.869 -125.213  149.064
16  103.334   53.882 -172.470 -137.362   68.650  172.166   81.235 -121.368 -146.662
17   99.093   66.555  176.957 -127.580   61.480 -175.418  109.979  -88.581 -171.385
18   93.298   67.984  168.163 -141.309   45.856 -144.394   73.282  137.594  -71.429
19   94.922   55.722 -155.684 -128.527   42.483 -151.564   99.216  -53.404    3.365
20  103.149   54.281 -179.794 -145.073   47.262 -152.673   56.736 -151.317  -25.294
