  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
        0        0.000        5.592            0      545.719      453.055       68.935
        1        0.630        5.564            0      537.734      459.339       71.043
        2        0.628        5.672            0      548.932      480.398       76.161
        3        1.187        5.584            0      535.342      447.197       68.978
        4        1.520        6.053            0      552.279      507.423       63.742
        5        1.995        6.124            0      551.303      487.351       70.301
        6        2.051        6.078            0      549.827      480.804       72.725
        7        2.067        6.096            0      550.000      487.202       67.992
        8        2.256        6.058            0      557.152      488.126       74.581
        9        2.340        6.393            0      572.157      517.118       70.327
       10        2.148        6.278            0      563.811      457.977       64.637
       11        2.131        6.360            0      560.134      500.372       68.331
       12        2.372        6.132            0      554.472      520.628       70.805
       13        2.048        6.200            0      558.800      518.599       69.447
       14        1.848        6.212            0      560.828      503.987       58.583
       15        1.989        6.329            0      574.725      523.235       64.359
       16        1.946        6.127            0      553.334      504.393       45.459
       17        1.671        6.297            0      577.522      514.656       59.370
       18        1.700        6.179            0      565.946      499.086       54.134
       19        1.918        6.160            0      556.565      516.498       50.088
       20        1.759        6.055            0      560.780      529.961       52.739
       21        1.827        6.186            0      563.278      539.522       62.729
       22        1.701        6.282            0      565.732      522.160       59.542
       23        1.966        6.379            0      571.591      519.152       54.143
       24        2.025        6.033            0      569.866      489.755       59.264
       25        1.818        5.969            0      569.492      511.651       61.448
       26        2.049        6.178            0      580.638      518.929       61.891
       27        2.033        6.137            0      575.935      491.847       59.637
       28        1.968        6.098            0      576.946      489.369       64.001
       29        2.093        6.084            0      563.268      473.900       58.435
       30        1.879        6.256            0      570.282      467.389       58.068
       31        2.079        6.111            0      580.315      498.719       61.811
       32        2.204        6.079            0      571.371      495.324       62.651
       33        2.383        6.273            0      573.425      482.421       70.352
       34        2.252        6.385            0      563.107      484.940       64.801
       35        2.793        6.081            0      566.934      494.654       75.770
       36        2.678        6.280            0      578.080      486.868       67.805
       37        2.970        6.076            0      558.912      507.981       78.720
       38        2.792        6.227            0      558.934      489.572       61.412
       39        2.684        6.420            0      568.836      488.330       65.508
       40        2.636        6.546            0      578.072      491.405       66.514
       41        2.413        6.364            0      577.181      507.929       70.961
       42        2.441        6.511            0      580.957      532.229       71.434
       43        2.224        6.347            0      571.684      535.211       62.238
       44        2.483        6.279            0      560.487      518.070       67.375
       45        2.470        6.372            0      577.332      559.784       65.114
       46        2.543        6.260            0      575.880      551.808       65.475
       47        2.577        6.463            0      579.409      551.860       70.367
       48        2.462        6.454            0      580.670      570.594       69.332
       49        2.582        6.132            0      563.436      531.619       65.468
       50        2.287        6.353            0      575.228      537.728       70.479
       51        2.043        6.332            0      578.556      547.260       67.179
       52        2.424        6.466            0      575.652      585.029       57.444
       53        2.336        6.324            0      572.000      546.469       63.019
       54        3.121        6.025            0      568.736      532.673       62.145
       55        3.154        5.795            0      573.628      550.235       71.027
       56        3.564        6.061            0      596.005      580.600       63.007
       57        3.621        5.938            0      598.105      542.835       61.985
       58        3.626        5.819            0      580.723      527.019       61.506
       59        3.690        5.896            0      576.087      516.622       70.007
       60        3.946        5.804            0      574.556      476.940       68.805
       61        3.762        5.682            0      571.923      469.227       67.390
       62        3.822        5.710            0      576.530      487.019       68.538
       63        3.896        5.772            0      590.569      488.501       73.975
       64        3.880        5.587            0      569.636      457.460       63.580
       65        3.731        5.594            0      573.385      479.164       69.721
       66        3.977        5.600            0      578.815      506.221       67.368
       67        3.796        5.715            0      580.588      459.723       68.003
       68        4.159        5.525            0      583.273      495.453       64.410
       69        3.959        5.701            0      575.927      451.921       65.547
       70        3.824        5.843            0      582.100      496.231       71.531
       71        3.912        5.600            0      579.668      477.501       65.903
       72        3.930        5.710            0      588.416      524.788       68.017
       73        3.850        5.796            0      584.706      486.604       67.143
       74        3.913        5.622            0      578.368      472.066       69.322
       75        3.951        5.601            0      568.876      460.172       70.285
       76        4.048        5.625            0      572.017      459.280       68.493
       77        3.942        5.635            0      573.115      422.691       69.618
       78        3.945        5.745            0      581.476      467.677       65.750
       79        3.914        5.883            0      585.822      483.804       68.575
       80        3.734        5.686            0      588.303      470.591       60.549
       81        4.073        5.715            0      588.437      481.196       62.707
       82        3.920        5.732            0      587.756      463.685       68.663
       83        4.101        5.674            0      581.819      481.350       66.610
       84        3.956        5.919            0      603.761      544.927       64.771
       85        4.113        5.893            0      602.854      520.778       69.687
       86        4.095        5.786            0      601.727      524.413       66.798
       87        4.184        5.666            0      583.101      486.708       67.361
       88        4.022        5.515            0      577.215      478.102       67.309
       89        4.049        5.572            0      580.967      461.835       61.801
       90        4.068        5.556            0      578.968      458.559       65.873
       91        3.877        5.714            0      579.176      460.683       69.430
       92        3.839        5.796            0      586.687      503.886       68.816
       93        3.878        5.741            0      582.219      472.682       67.463
       94        4.080        5.654            0      579.707      483.326       68.030
       95        4.198        5.662            0      586.423      467.498       70.273
       96        4.312        5.653            0      582.007      487.685       70.649
       97        4.288        5.607            0      582.360      457.433       69.493
       98        3.997        5.824            0      586.421      490.561       67.668
       99        4.257        5.681            0      586.011      476.817       70.992
      100        4.299        5.746            0      569.985      475.061       73.672
      101        4.249        5.779            0      588.395      492.243       71.494
      102        4.197        5.851            0      585.680      494.795       70.540
      103        4.295        5.743            0      585.473      485.452       73.796
      104        4.239        5.782            0      588.597      513.599       73.750
      105        4.179        5.942            0      599.763      584.069       70.607
      106        4.286        5.883            0      584.987      547.156       70.202
      107        4.345        5.729            0      587.257      541.765       71.722
      108        4.295        5.806            0      577.550      521.908       73.844
      109        4.372        5.672            0      568.524      506.050       69.559
      110        4.299        5.813            0      589.578      551.604       74.409
      111        4.214        5.941            0      583.802      504.605       72.350
      112        4.278        5.862            0      596.749      499.749       65.621
      113        4.262        5.837            0      610.114      499.005       72.048
      114        4.130        5.985            0      604.538      539.922       67.303
      115        4.175        6.003            0      585.222      534.316       74.546
      116        4.296        5.889            0      590.763      566.064       78.072
      117        4.172        5.944            0      591.764      530.984       75.433
      118        4.215        5.855            0      580.455      524.817       73.323
      119        4.258        6.011            0      583.598      497.882       78.188
      120        4.135        5.871            0      589.951      511.997       69.257
      121        4.077        6.108            0      599.803      562.119       71.617
      122        4.013        6.013            0      592.232      554.810       68.773
      123        4.214        5.995            0      592.618      514.051       73.547
      124        4.189        5.949            0      597.976      575.827       69.753
      125        4.189        5.879            0      573.713      512.549       75.372
      126        4.325        5.952            0      588.727      490.274       78.348
      127        4.079        6.200            0      600.193      600.104       72.086
      128        3.928        6.167            0      600.203      549.601       70.194
      129        4.137        6.195            0      588.897      485.637       71.899
      130        4.068        6.182            0      597.083      504.666       68.615
      131        4.049        6.202            0      591.567      485.618       71.411
      132        4.282        6.089            0      565.491      441.463       72.821
      133        4.248        6.142            0      610.230      524.743       78.255
      134        4.205        5.999            0      573.864      431.376       72.696
      135        4.198        6.071            0      589.664      484.733       72.742
      136        4.111        6.120            0      575.293      464.109       69.185
      137        4.340        5.829            0      569.167      448.478       75.137
      138        4.392        5.956            0      579.280      436.409       73.877
      139        4.347        6.026            0      574.502      467.135       75.787
      140        4.298        5.911            0      573.882      433.153       72.070
      141        4.174        5.869            0      569.183      447.334       68.192
      142        4.022        5.921            0      572.512      478.062       68.244
      143        4.055        5.929            0      576.328      493.221       69.978
      144        4.199        6.011            0      587.089      483.142       70.010
      145        4.264        5.990            0      579.293      486.659       75.354
      146        4.251        5.932            0      574.180      448.695       73.267
      147        4.266        5.955            0      577.841      468.531       71.931
      148        4.184        5.824            0      586.192      457.815       70.454
      149        4.130        6.093            0      581.461      452.189       72.459
      150        4.291        5.899            0      573.002      477.705       76.295
      151        4.291        5.932            0      573.609      493.078       73.274
      152        4.192        6.013            0      581.240      502.746       72.709
      153        4.290        6.143            0      577.126      495.359       75.145
      154        4.250        6.070            0      579.058      473.843       74.374
      155        4.241        6.047            0      572.801      465.989       76.780
      156        4.386        5.904            0      566.876      428.305       77.718
      157        4.343        5.980            0      565.194      425.251       78.926
      158        4.132        5.863            0      569.215      462.898       68.220
      159        4.248        5.958            0      567.480      414.670       74.566
      160        4.270        5.852            0      573.546      449.122       73.402
      161        4.199        6.013            0      580.137      466.717       70.063
      162        4.257        5.760            0      585.981      463.045       73.196
      163        4.184        5.793            0      581.915      466.786       73.816
      164        4.218        6.015            0      572.672      450.058       75.860
      165        4.186        5.790            0      569.291      460.168       66.154
      166        4.229        5.786            0      585.924      510.244       69.993
