   # Atom# PDBResName  wrt_Protein   wrt_Ligand 
         1                   3.072        1.315
         2                   3.389        1.331
         3                   3.409        0.620
         4                   3.915        0.749
         5                   4.274        1.479
         6                   4.271        1.497
         7                   4.265        1.470
         8                   3.450        1.346
         9                   3.131        1.310
        10                   2.726        0.498
        11                   2.576        0.479
        12                   2.755        0.602
        13                   2.856        0.603
        14                   2.490        0.666
        15                   2.566        0.676
        16                   2.753        0.494
        17                   3.058        0.543
        18                   3.029        0.509
        19                   3.099        0.570
        20                   2.821        0.611
        21                   3.003        0.883
        22                   3.281        1.523
        23                   3.731        2.319
        24                   3.166        1.431
        25                   3.680        2.275
        26                   3.090        0.625
        27                   3.134        0.804
        28                   3.239        0.736
        29                   3.357        0.800
        30                   3.661        1.261
        31                   3.907        1.687
        32                   4.286        2.153
        33                   4.281        2.035
        34                   3.889        1.499
        35                   3.865        1.369
        36                   4.195        1.727
        37                   3.562        0.965
        38                   3.311        0.649
        39                   3.081        0.600
        40                   3.288        0.949
        41                   3.260        1.289
        42                   3.479        1.813
        43                   3.627        2.275
        44                   3.569        2.354
        45                   3.861        2.929
        46                   3.590        2.372
        47                   3.441        1.911
