## Torsion are defined with the following atomIDs:
# dihed1: ai= 2464 aj= 2463 ak= 2462 al= 2461
# dihed2: ai= 2463 aj= 2462 ak= 2461 al= 2460
# dihed3: ai= 2462 aj= 2461 ak= 2460 al= 2451
# dihed4: ai= 2452 aj= 2451 ak= 2450 al= 2448
# dihed5: ai= 2451 aj= 2450 ak= 2448 al= 2440
# dihed6: ai= 2450 aj= 2448 ak= 2440 al= 2441
# dihed7: ai= 2441 aj= 2440 ak= 2439 al= 2438
# dihed8: ai= 2439 aj= 2440 ak= 2441 al= 2442
# dihed9: ai= 2440 aj= 2441 ak= 2442 al= 2443
# dihed10: ai= 2441 aj= 2442 ak= 2443 al= 2444
# dihed11: ai= 2446 aj= 2443 ak= 2444 al= 2445
# dihed12: ai= 2444 aj= 2443 ak= 2446 al= 2447
# dihed13: ai= 2440 aj= 2439 ak= 2438 al= 2435
# dihed14: ai= 2434 aj= 2433 ak= 2432 al= 2431
# dihed15: ai= 2430 aj= 2425 ak= 2426 al= 2427
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7   dihed8   dihed9  dihed10  dihed11  dihed12  dihed13  dihed14  dihed15
0  -85.868   71.277  -96.245   68.793   56.550   17.887 -117.652   75.989 -170.473 -171.547  153.666  -62.507   24.288  139.182 -123.546
1  -93.876   63.774  -96.608   62.555   62.937   19.398 -107.429   68.517 -171.258  168.362  172.517 -122.537    0.336 -140.769  148.015
2  -90.156   66.271 -103.877   67.183   68.392    6.369 -113.460   63.845 -169.401  156.316  160.391 -125.192   18.245  143.868   92.810
3 -114.290   61.271  -99.528   45.899   67.270   16.307 -125.268   83.747  165.586  151.664  143.476  -83.481   28.418  144.304 -178.755
4  -95.339   88.299 -163.700   43.139   62.305    9.223 -111.605   61.084 -158.050  165.616 -179.943  -71.402   42.192  141.316  -96.778
5  -92.862  175.246  163.174   36.585   60.559   16.537 -107.790   82.006 -173.063  168.427   67.173 -125.067   31.082  151.909  -44.761
6  -65.595  171.517 -168.504   49.470   63.652   21.400 -123.144   75.672 -169.467  165.602   58.980 -133.110   47.100  144.345  -27.753
7  -64.619  165.791 -154.371   57.806   61.913   14.739 -105.784   73.631 -167.900  176.441   89.924 -138.720    7.875  161.668  173.387
8  -73.360 -173.175 -175.519   47.515   68.167   14.255 -118.819   92.330 -166.071  160.263   91.150  -74.455   21.018  174.060  172.750
9  -75.880  166.163 -172.667   61.414   68.246    7.409 -126.939   77.032 -161.254  167.074   70.794 -122.244   20.536  161.358  -98.152
10  -77.457 -175.656 -165.566   59.749   61.082    8.496 -118.929   84.961 -163.100  159.577   63.477 -140.277    7.791 -138.931 -111.093
11  -98.555 -175.279 -153.334   72.024   38.637    6.300 -116.279   68.643 -169.017  157.979   41.763 -133.764   24.502  161.259   74.349
12  -89.065 -133.432 -145.378   51.683   71.048    1.601 -125.855   72.656 -173.351  156.771  149.044  -79.793   32.723 -150.272  -72.790
13  -83.877 -176.895  176.979   47.101   76.109   -5.198 -112.692   61.282  170.528  149.782  170.947 -101.104   21.008 -155.155 -130.135
14 -103.264   89.738  175.416   51.741   62.344   17.026 -128.774   78.721 -161.387   84.461   69.920 -164.470   34.340 -147.348 -100.244
15 -175.610   86.107 -179.365   65.769   68.276    5.998 -121.445   88.640 -160.553   74.829   50.277 -145.830    9.871 -117.573  -82.816
16 -127.111   75.871  176.207   50.540   70.484   -7.482 -125.793   80.369 -171.701   81.407   57.516 -118.282   35.700 -145.881   59.694
17 -123.216   72.172 -177.436   19.561   88.134    0.174 -115.629   80.723 -169.958  104.349   60.545 -162.322   20.511 -154.163  117.007
18 -121.841   62.053 -162.197   64.965   65.645   10.397 -141.598   92.223 -178.227   84.077   63.846 -109.878   52.596  172.443 -119.393
19 -120.358   69.545 -174.939   58.159   46.654   18.961 -126.533   80.206 -168.420   85.868   50.073  -99.981   32.856 -148.529  -88.076
20 -132.966   74.188 -175.551   57.311   68.166    1.194 -120.218   83.763 -169.267   78.955   57.123 -102.894   20.526 -149.128  -75.497
21   87.470  115.041  177.939   70.899   55.724   14.958 -115.529   74.959 -177.161   98.954   53.211  -98.272   26.679 -127.868   -8.083
22   97.845   96.972 -164.214   65.780   58.191    5.178 -118.441   89.235 -177.826   93.576   74.773 -104.362   32.910 -157.958    8.584
23  109.959  110.350  172.574   54.462   66.843    6.192 -116.034   71.519 -174.552   82.859   66.512 -168.603    4.532 -141.040  -34.718
24  100.210   73.887 -159.498   64.057   98.321  -14.443 -108.422   81.745  176.773  105.816  176.733  -57.814    1.861 -114.225  107.547
25   61.667   64.641 -140.276   73.448   90.722   -0.491 -105.113   74.684  178.331   83.389   72.883 -104.080   18.041 -140.955 -133.025
26   78.641   91.471 -172.183   65.368  101.916   -7.873 -111.330   92.691 -160.547   84.268   84.198 -177.725   14.009 -143.520  145.648
27  -81.617   88.198 -166.088   70.607   92.686  -12.149  -99.559   72.914 -175.045   91.501   66.729 -152.031    2.093 -127.629    4.688
28  -93.613   92.875 -147.073   67.743  108.487   -8.139 -109.150   88.184 -178.975   72.167   73.141 -151.796   15.838 -152.500  -81.910
29 -133.425  103.100  173.657   62.794   77.335    4.228 -120.319   81.818 -178.446   91.736 -171.459  -64.888   44.975 -128.920  138.382
30  -67.261   89.164 -147.734   63.300  113.560  -26.223 -119.229  100.770  174.513   95.216  169.551  -85.264   29.677 -149.859 -107.024
31 -107.538   81.592 -178.957   71.576   88.296    1.461 -112.424   89.218 -176.508  102.284  170.142  -52.706   17.754 -137.646 -119.517
32 -100.223  164.750 -159.623   65.555   91.007   -4.012 -111.553   78.241  172.759  143.149  154.695  -74.743   19.172 -137.895  144.089
33 -103.040  157.888 -168.603   75.417   88.133   -9.805 -116.414   77.909 -161.233  152.862  161.034  -71.085    6.836  -84.553  -82.246
34 -123.263  171.091 -164.617   59.005   70.730    4.289 -130.969   71.790 -165.770  163.594   85.686 -139.252   63.655 -125.406  -32.021
35  -62.176 -174.419  175.791   54.739   85.035   -6.625 -120.888   85.771 -151.693  170.078  138.796  -85.199   16.518 -111.119   43.195
36  -62.074  173.957  179.710   62.230   89.761   -4.781 -117.013  110.351 -155.510  162.108  150.527  -54.741   69.832 -151.959  163.757
37  -55.325 -143.044 -173.836   64.255   76.790   -1.613  -94.431   90.248 -152.419  172.547  178.048  -48.543   -6.521  -52.536  -93.773
38  -96.202  -95.530 -149.796   69.562   79.124   -3.008 -119.186  110.294 -175.490  158.551  136.697  -68.190   29.658   46.740   16.241
39  -66.682 -167.785 -179.228   54.245   81.534    2.488 -137.338  104.049 -174.316  157.365  101.504  -61.660   54.632   24.919 -178.891
40    4.227 -172.208 -178.736   60.640   79.493    1.357 -134.819   86.763 -163.750  158.171   79.667 -140.494   69.024   44.238   46.184
41  -71.712  148.785  160.825   55.885   70.013    9.634 -127.945   97.834 -175.682  105.015 -171.341  -53.534   54.967   38.871  130.163
