  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
        0        0.000        4.513            0      311.558      440.797      101.923
        1        0.710        4.671            0      314.644      400.775      107.359
        2        1.066        4.765            0      316.038      405.577      103.591
        3        1.113        4.851            0      322.198      432.551      111.037
        4        0.797        4.646            0      310.202      365.221       99.879
        5        1.249        4.770            0      317.330      406.941      106.923
        6        1.079        4.803            0      316.673      401.434      105.439
        7        1.302        4.733            0      315.933      400.727      102.683
        8        0.952        4.766            0      316.333      429.916      103.676
        9        1.085        4.802            0      317.918      425.695      105.510
       10        1.145        4.714            0      314.477      411.022      101.918
       11        0.925        4.779            0      316.189      453.316      107.061
       12        1.022        4.747            0      316.023      447.227      103.789
       13        1.275        4.736            0      316.141      476.606      104.201
       14        1.314        4.686            0      315.630      471.833      106.546
       15        1.099        4.749            0      315.452      485.091      104.612
       16        0.973        4.695            0      314.119      505.880      103.592
       17        0.977        4.785            0      317.505      538.976      105.727
       18        1.211        4.817            0      317.549      581.166      104.615
       19        1.010        4.731            0      316.231      577.311      107.146
       20        1.069        4.844            0      318.686      526.355      103.825
       21        1.120        4.805            0      316.281      512.747      105.109
       22        0.983        4.687            0      315.179      517.275      106.018
       23        1.028        4.830            0      319.004      517.105      107.805
       24        1.227        4.650            0      313.547      486.380      101.749
       25        1.329        4.869            0      319.564      520.277      105.195
       26        1.191        4.745            0      317.728      509.895      106.879
       27        1.212        4.854            0      319.730      501.933      108.417
       28        1.220        4.787            0      319.264      512.188      111.725
       29        1.114        4.787            0      317.021      508.862      107.113
       30        1.045        4.630            0      312.526      537.678      102.540
       31        0.988        4.708            0      312.409      507.428      105.130
       32        1.050        4.668            0      314.445      497.129      106.349
       33        1.280        4.745            0      317.082      478.390      107.585
       34        1.178        4.811            0      317.137      486.774      105.447
       35        1.185        4.699            0      314.941      456.049      100.271
       36        0.962        4.689            0      314.225      449.819      101.856
       37        1.078        4.758            0      317.250      449.419      102.772
       38        1.153        4.771            0      315.237      443.982      103.778
       39        1.288        4.696            0      316.716      480.464      105.727
       40        1.188        4.835            0      318.322      478.810      104.334
       41        0.914        4.636            0      314.264      453.671      105.022
       42        1.240        4.826            0      317.883      534.402      107.547
       43        1.197        4.813            0      316.789      433.710      105.791
       44        1.123        4.812            0      318.875      448.999      105.459
       45        0.840        4.753            0      316.043      484.868      104.437
       46        1.036        4.771            0      316.357      533.256      105.033
       47        1.211        4.791            0      317.641      533.287      106.684
       48        1.049        4.782            0      316.309      528.703      104.554
       49        1.280        4.859            0      318.861      531.267      106.277
       50        1.077        4.796            0      318.290      530.563      106.609
       51        1.044        4.785            0      317.471      509.140      103.638
       52        1.076        4.677            0      311.283      497.486      102.377
       53        1.064        4.718            0      313.786      541.249      103.978
       54        1.299        4.690            0      314.571      529.942      102.869
       55        1.210        4.768            0      316.768      576.746      106.984
       56        1.293        4.781            0      315.623      578.011      102.919
       57        1.155        4.763            0      316.116      584.110      108.522
       58        1.272        4.747            0      315.869      579.242      103.311
       59        1.151        4.780            0      315.382      578.426      108.000
       60        1.327        4.745            0      316.368      575.921      102.026
       61        1.027        4.672            0      315.132      576.542      104.960
       62        0.983        4.709            0      314.196      575.221      103.297
       63        1.178        4.720            0      314.567      577.654      106.800
       64        1.067        4.711            0      314.560      577.516      103.079
       65        1.100        4.746            0      315.513      578.749      104.664
       66        1.159        4.761            0      317.071      581.021      100.566
       67        1.140        4.775            0      316.478      570.100      103.095
       68        1.198        4.776            0      317.392      581.121      103.873
       69        1.165        4.771            0      317.759      583.425      106.858
       70        1.170        4.813            0      318.306      585.510      108.280
       71        1.152        4.674            0      316.344      579.333      104.201
       72        1.166        4.717            0      314.247      576.995      102.349
       73        1.017        4.649            0      314.776      574.921      100.828
       74        1.257        4.712            0      315.559      578.159      102.075
       75        1.212        4.825            0      317.400      569.754      102.100
       76        1.102        4.802            0      317.600      580.507      105.467
       77        1.158        4.827            0      317.602      579.407      107.939
       78        1.227        4.801            0      319.305      585.513      106.388
       79        1.101        4.760            0      316.411      574.398      104.114
       80        0.994        4.680            0      313.367      569.813      101.917
       81        1.057        4.736            0      315.092      566.754      102.956
       82        1.293        4.738            0      316.956      561.185      106.430
       83        1.171        4.761            0      316.349      499.298      111.576
       84        1.215        4.775            0      317.968      480.481      107.315
       85        0.928        4.703            0      314.696      488.837      102.321
       86        0.984        4.784            0      315.008      501.545      110.099
       87        1.177        4.813            0      317.259      487.347      106.603
       88        1.107        4.825            0      319.093      501.528      104.673
       89        0.969        4.691            0      314.123      489.847      104.623
       90        1.283        4.832            0      316.568      482.655      102.837
       91        1.278        4.818            0      318.894      473.271      107.920
       92        1.055        4.739            0      315.728      491.655      103.939
       93        1.154        4.748            0      314.366      476.185      104.651
       94        1.288        4.715            0      316.339      485.353      104.093
       95        1.099        4.758            0      316.754      480.342      103.019
       96        1.285        4.778            0      317.412      487.631      108.077
       97        0.991        4.805            0      316.860      489.245      109.820
       98        1.019        4.802            0      318.497      495.648      106.930
       99        1.350        4.641            0      313.935      485.462      100.967
      100        1.277        4.748            0      316.696      475.361      104.456
      101        1.223        4.741            0      317.154      482.230      108.204
      102        0.952        4.667            0      313.790      490.258      106.150
      103        1.196        4.812            0      318.671      546.559      105.156
      104        1.128        4.771            0      314.750      578.768      104.506
      105        1.053        4.761            0      318.217      581.250      110.849
      106        1.046        4.722            0      315.451      578.979      103.609
      107        1.077        4.778            0      317.205      578.595      104.541
      108        1.118        4.812            0      316.085      578.864      104.609
      109        1.207        4.782            0      315.122      577.652      102.252
      110        1.274        4.829            0      320.657      590.660      111.662
      111        1.212        4.769            0      315.601      580.022      105.662
      112        1.243        4.774            0      316.863      581.473       99.133
      113        1.150        4.681            0      314.514      574.938      101.458
      114        1.229        4.781            0      317.157      583.445      107.017
      115        1.251        4.843            0      320.060      585.185      108.530
      116        1.197        4.778            0      316.843      583.187      102.852
      117        1.094        4.681            0      313.720      576.033      103.565
      118        1.066        4.714            0      313.664      573.551      106.430
      119        1.251        4.792            0      316.868      581.119      107.603
      120        1.160        4.783            0      318.430      585.107      109.797
      121        1.262        4.773            0      316.779      581.569      105.259
      122        1.349        4.744            0      315.809      578.158      106.092
      123        1.132        4.776            0      315.015      579.613      106.833
      124        0.950        4.632            0      313.074      573.105      102.946
      125        1.230        4.816            0      316.380      577.840      106.241
      126        1.271        4.781            0      318.493      583.994      106.176
      127        0.813        4.643            0      314.422      576.538      105.288
      128        1.103        4.758            0      317.854      580.424      108.748
      129        1.158        4.796            0      316.375      580.787      102.985
      130        1.111        4.827            0      317.826      582.884      106.983
      131        1.111        4.746            0      315.205      576.285      102.541
      132        1.213        4.787            0      318.683      584.095      107.352
      133        1.159        4.708            0      314.918      577.195      102.939
      134        1.008        4.822            0      316.882      570.375      103.341
      135        1.270        4.791            0      319.240      586.955      110.013
      136        1.103        4.678            0      315.085      577.853      104.223
      137        1.106        4.714            0      314.451      574.293      102.550
      138        1.141        4.757            0      314.981      572.224      104.999
      139        1.161        4.820            0      315.792      576.639      108.554
      140        1.080        4.751            0      317.302      580.832      108.085
      141        1.124        4.770            0      316.338      577.640      104.710
      142        1.072        4.809            0      319.377      584.614      109.011
      143        1.211        4.793            0      317.976      566.716      105.741
      144        1.001        4.742            0      313.681      545.908       98.475
      145        1.185        4.759            0      316.636      580.599      105.175
      146        0.996        4.808            0      317.981      471.527      108.101
      147        1.059        4.879            0      318.092      517.556      106.675
      148        1.199        4.827            0      319.384      554.329      110.817
      149        1.424        4.808            0      318.161      500.162      113.073
      150        1.235        4.838            0      320.556      527.076      109.075
      151        1.321        4.795            0      319.223      495.196      111.413
      152        1.262        4.842            0      319.182      524.246      112.194
      153        1.488        4.785            0      319.163      535.875      109.283
      154        1.395        4.833            0      323.176      537.758      113.225
      155        1.134        4.741            0      318.138      566.104      107.814
      156        1.442        4.807            0      319.395      536.051      109.811
      157        1.391        4.785            0      317.611      533.584      110.658
      158        1.406        4.887            0      320.251      536.291      112.070
      159        1.236        4.733            0      315.229      512.193      103.543
      160        1.488        4.834            0      321.275      493.509      112.434
      161        1.125        4.707            0      318.016      514.999      106.874
      162        1.353        4.797            0      316.109      520.212      100.996
      163        1.445        4.883            0      319.893      516.331      106.146
      164        1.184        4.797            0      318.568      551.272      110.228
      165        1.184        4.797            0      319.587      535.841      109.173
      166        1.439        4.848            0      320.442      520.159      114.391
      167        1.327        4.786            0      317.720      533.663      112.867
      168        1.424        4.827            0      318.348      531.647      112.922
      169        1.390        4.754            0      316.504      534.138      107.638
      170        1.257        4.841            0      316.513      527.084      106.200
      171        1.413        4.763            0      319.057      536.629      112.371
      172        1.334        4.800            0      316.781      541.115      105.495
      173        1.445        4.799            0      317.384      528.221      109.121
      174        1.363        4.756            0      317.621      529.029      107.385
      175        1.235        4.856            0      320.611      509.208      112.851
      176        1.388        4.785            0      320.509      525.070      104.427
      177        1.388        4.767            0      315.282      530.346      108.128
      178        1.343        4.791            0      318.152      503.789      108.163
      179        1.242        4.814            0      316.111      460.020      108.326
      180        1.112        4.658            0      315.736      456.127      107.912
      181        1.154        4.678            0      317.221      437.119      105.053
      182        1.421        4.767            0      317.342      450.360      110.965
      183        1.293        4.738            0      314.342      451.226      107.414
      184        1.135        4.804            0      318.244      518.943      107.601
      185        1.143        4.751            0      315.900      458.422      105.613
      186        1.045        4.630            0      316.189      485.980      108.428
      187        1.291        4.791            0      318.596      503.665      109.986
      188        1.402        4.777            0      317.628      457.532      108.428
      189        1.231        4.815            0      318.813      494.841      106.118
      190        1.173        4.760            0      316.404      513.899      106.013
      191        1.409        4.730            0      317.674      475.491      107.345
      192        1.042        4.564            0      315.276      482.175      110.619
      193        1.396        4.854            0      319.834      483.525      108.486
      194        1.191        4.720            0      318.259      466.357      110.558
      195        1.287        4.832            0      320.504      499.442      110.414
      196        1.234        4.748            0      317.381      511.790      109.019
      197        1.302        4.858            0      320.202      482.732      111.343
      198        1.290        4.738            0      317.193      496.302      109.890
      199        1.092        4.683            0      316.536      527.544      104.608
      200        1.112        4.642            0      317.189      459.178      110.163
      201        1.261        4.729            0      317.508      465.091      107.445
      202        1.316        4.804            0      315.769      444.208      106.163
      203        1.428        4.825            0      317.745      428.727      104.147
      204        1.238        4.812            0      319.093      449.052      108.548
      205        1.128        4.729            0      316.519      451.193      107.719
      206        1.302        4.779            0      317.777      458.866      109.369
      207        1.327        4.750            0      316.659      447.749      104.131
      208        1.351        4.857            0      317.503      435.911      104.383
      209        1.225        4.741            0      319.089      447.854      108.222
      210        1.308        4.785            0      318.255      453.600      107.217
      211        1.325        4.756            0      315.849      449.726      108.468
      212        1.233        4.801            0      315.746      428.065      103.917
      213        1.280        4.718            0      319.375      435.070      106.063
      214        1.080        4.633            0      313.528      445.995      103.523
      215        1.332        4.793            0      317.678      414.554      108.659
      216        1.239        4.634            0      316.975      441.596      106.398
      217        1.163        4.722            0      317.732      424.224      113.803
      218        1.213        4.723            0      318.774      421.472      105.797
      219        1.098        4.676            0      316.925      447.955      103.191
      220        1.149        4.751            0      317.606      441.937      107.089
      221        1.157        4.700            0      313.993      435.533      102.881
      222        1.166        4.785            0      314.615      430.507      104.123
      223        1.324        4.762            0      317.147      396.872      109.720
      224        1.334        4.831            0      316.753      406.650      108.518
      225        1.210        4.819            0      315.404      407.125      100.232
      226        1.272        4.760            0      317.550      404.690      108.146
      227        1.177        4.763            0      316.105      410.899      102.463
      228        1.270        4.797            0      318.498      403.449      103.688
      229        1.144        4.747            0      318.292      422.301      106.854
      230        1.340        4.790            0      317.516      401.868      105.537
      231        1.288        4.742            0      316.868      424.333      104.423
      232        1.402        4.760            0      316.945      424.740      106.887
      233        1.143        4.729            0      316.320      421.467      107.401
      234        1.024        4.618            0      316.081      443.321      107.674
      235        1.177        4.742            0      316.802      432.304      103.150
      236        1.099        4.609            0      317.871      444.447      104.624
      237        1.170        4.646            0      312.760      394.664      107.902
      238        1.167        4.714            0      315.214      411.838      101.412
      239        1.396        4.857            0      320.676      387.821      109.241
      240        1.464        4.777            0      317.439      393.228      107.857
      241        1.431        4.818            0      319.562      372.709      108.137
      242        1.377        4.694            0      314.814      412.403      107.389
      243        1.249        4.671            0      314.630      437.948      103.502
      244        1.378        4.789            0      319.106      403.313      107.984
      245        1.106        4.675            0      318.244      468.060      107.617
      246        1.368        4.778            0      317.569      407.642      106.497
      247        1.253        4.752            0      315.930      410.548      103.456
      248        1.226        4.766            0      316.382      436.457      104.645
      249        1.094        4.640            0      314.650      447.511      105.024
      250        1.222        4.699            0      315.573      407.208      102.639
      251        1.129        4.758            0      318.619      444.171      107.386
      252        1.153        4.661            0      314.652      431.207      109.415
      253        1.288        4.786            0      317.292      401.350      106.009
      254        1.021        4.632            0      315.231      387.296      107.983
      255        1.281        4.735            0      314.899      352.869      104.486
      256        1.305        4.897            0      319.688      346.202      113.238
      257        1.334        4.832            0      318.315      346.486      108.307
      258        1.308        4.876            0      317.366      337.919      111.949
      259        1.385        4.795            0      316.986      343.892      110.794
      260        1.226        4.807            0      317.884      346.175      106.565
      261        1.311        4.776            0      315.776      344.016      103.229
      262        1.219        4.707            0      317.983      351.460      108.524
      263        1.372        4.785            0      316.914      343.841      108.975
      264        1.350        4.843            0      320.691      357.574      113.086
      265        1.364        4.842            0      318.803      347.038      107.857
      266        1.366        4.753            0      317.496      360.085      108.855
      267        1.193        4.802            0      315.878      353.601      107.112
      268        1.328        4.740            0      315.959      363.635      104.998
      269        1.382        4.830            0      318.755      342.546      105.032
      270        1.298        4.763            0      316.415      344.259      106.522
      271        1.313        4.827            0      319.562      344.322      106.049
      272        1.373        4.728            0      314.274      335.428      105.390
      273        1.269        4.893            0      318.559      361.689      106.393
      274        1.367        4.798            0      316.419      340.025      105.861
      275        1.316        4.777            0      315.986      346.257      105.082
      276        1.455        4.794            0      319.224      340.397      107.905
      277        1.226        4.819            0      315.136      346.177      105.419
      278        1.226        4.780            0      318.069      358.914      108.256
      279        1.299        4.817            0      316.232      354.668      106.953
      280        1.288        4.773            0      315.971      350.472      105.971
      281        1.292        4.721            0      316.083      345.410      102.057
      282        1.497        4.775            0      318.888      345.285      105.199
      283        1.170        4.717            0      316.462      399.163      106.969
      284        1.153        4.736            0      315.649      375.887      102.897
      285        1.459        4.798            0      316.668      345.435      105.600
      286        1.402        4.781            0      316.643      347.770      107.875
      287        1.417        4.853            0      317.811      379.135      107.943
      288        1.291        4.801            0      320.572      372.370      106.694
      289        1.263        4.895            0      318.859      341.797      102.456
      290        1.310        4.706            0      316.181      358.433      107.301
      291        1.266        4.723            0      314.397      358.578      102.317
      292        1.399        4.785            0      317.710      334.817      106.874
      293        1.256        4.779            0      317.366      355.840      107.417
      294        1.424        4.880            0      317.711      339.528      104.585
      295        1.340        4.763            0      316.707      365.795      106.779
      296        1.279        4.831            0      318.825      363.181      109.411
      297        1.392        4.802            0      318.080      323.406      104.972
      298        1.140        4.828            0      316.605      324.334      109.386
      299        1.285        4.789            0      316.727      330.573      103.420
      300        1.169        4.768            0      318.617      341.011      110.801
      301        1.195        4.744            0      315.663      353.898      104.084
      302        1.234        4.776            0      316.949      353.463      106.582
      303        1.145        4.796            0      319.357      365.682      111.248
      304        1.235        4.867            0      319.894      351.956      105.792
      305        1.256        4.795            0      318.356      358.689      104.833
      306        1.139        4.789            0      318.131      359.895      105.640
      307        1.226        4.742            0      316.863      352.561      103.585
      308        1.279        4.858            0      319.049      355.073      107.151
      309        1.355        4.825            0      320.175      369.635      103.611
      310        1.125        4.846            0      318.810      357.610      107.302
