   # Atom# PDBResName  wrt_Protein   wrt_Ligand 
         1                   7.642        0.403
         2                   8.082        0.482
         3                   7.623        0.611
         4                   7.573        0.652
         5                   8.003        0.745
         6                   7.978        0.642
         7                   7.565        0.413
         8                   7.157        0.385
         9                   7.181        0.471
        10                   7.263        0.881
        11                   7.164        0.484
        12                   7.224        0.486
        13                   7.361        0.916
        14                   7.223        0.260
        15                   7.378        0.393
        16                   7.510        0.863
        17                   7.506        1.849
        18                   7.784        0.512
        19                   7.986        1.338
        20                   8.360        1.176
        21                   8.481        0.184
        22                   8.932        0.501
        23                   9.151        1.357
        24                   9.172        1.388
        25                   9.175        1.405
        26                   8.363        1.167
        27                   8.054        1.093
