## Torsion are defined with the following atomIDs:
# dihed1: ai= 2442 aj= 2443 ak= 2444 al= 2445
# dihed2: ai= 2441 aj= 2440 ak= 2438 al= 2437
# dihed3: ai= 2440 aj= 2438 ak= 2437 al= 2436
# Frame#   dihed1   dihed2   dihed3
0   22.593 -131.286 -141.293
1  169.578 -114.163 -175.305
2  -49.370 -164.128 -169.933
3  126.156 -146.993 -173.493
4 -154.321 -149.901 -154.103
5    5.651 -140.708 -169.458
6  -93.194 -168.282 -176.882
7 -123.261 -134.199  176.840
8   32.909 -177.222 -153.289
9   93.815 -151.944 -178.010
10  140.059 -139.605 -178.824
11  170.881  175.681 -147.982
12    9.167  155.045 -153.204
13  -77.550 -150.556  176.845
14   13.401 -126.846  178.871
15 -125.132 -150.085  179.586
16   25.049 -141.894 -170.810
17  -58.041 -144.855  179.977
18   -1.344 -146.306  168.979
19  114.607  149.669 -151.923
20   39.621  134.401 -153.991
21   85.816 -166.421 -150.143
22  158.409  149.726 -135.874
23 -177.686  152.203 -170.040
24  -38.438 -145.567  170.651
25  161.560  168.597 -145.678
26  167.435 -139.729 -179.769
27  141.114 -177.844 -157.654
28    8.074  138.782 -153.892
29   10.623  177.894 -178.009
30   69.487 -139.691 -176.635
31   10.770  176.649 -150.089
32   82.496  135.555 -146.381
33 -111.883 -127.882  171.998
34  -39.808 -151.564 -171.943
35  138.205 -148.607 -174.022
36  -96.163 -152.720 -171.271
37   65.633 -148.064 -161.242
38  175.062 -171.951 -157.140
39 -154.337 -121.382  171.528
40 -116.801 -149.425  179.514
41 -144.091  146.049 -130.977
42   39.101 -151.423  174.361
43 -133.288  161.192 -165.977
44    0.830  121.179 -173.876
45  -24.721 -135.460 -170.305
46  128.330 -172.993 -166.729
47   70.259  162.265 -156.001
48   50.082  150.964 -170.467
49 -171.294 -165.216 -173.550
50   39.060  139.708 -133.182
51    6.806 -141.344 -168.209
52  154.169 -160.849 -167.119
53 -126.362 -144.808 -168.819
54  146.054 -139.216  172.131
55 -140.827 -150.535  174.059
56  -84.830 -148.307  179.968
57 -179.582 -115.837  179.702
58  -46.331 -146.982  178.764
59  -20.771  133.452 -165.530
60   93.949 -133.041  179.633
61   84.213  162.016 -135.914
62  -31.951 -154.896 -172.663
63  -32.458 -128.849  167.533
64   46.746 -139.798  179.388
65  -58.823 -151.853 -177.837
66  122.254 -150.176 -160.436
67  -69.723 -139.584 -173.488
68  121.656 -149.986 -177.177
69 -163.532 -144.575  166.509
70  143.614 -142.043 -178.546
71   51.575  136.347 -143.190
72   54.631 -141.600 -176.169
73   89.769  141.333 -112.650
74 -178.642 -141.717  173.526
75 -118.601 -155.480 -176.794
76  164.664  156.548 -139.579
77   98.781  159.745 -130.679
78  133.855 -149.172  177.144
79  110.164  157.623 -165.230
80  146.533 -150.851 -161.026
81   -9.349 -174.886 -176.466
82  175.487 -128.883  161.816
83  -35.872  149.250 -149.253
84 -111.411 -140.435  171.218
85  -39.376 -157.535 -174.986
86   89.360 -149.032  174.931
87  150.396 -141.984  178.656
88  -81.954  178.582 -145.184
89   -0.271 -177.036 -129.050
90  -68.350 -173.223 -154.404
91 -139.503 -129.012  177.509
92   63.295 -155.021 -141.267
93  114.434 -149.294 -157.845
94   18.632 -156.573  177.234
95  179.029 -157.783 -148.745
96 -128.825 -142.602  172.248
97   51.702 -169.990  173.279
98  -63.575 -132.673 -169.114
99  -12.434 -136.900 -174.593
100  120.846 -150.920 -176.853
101   16.563 -139.244  158.420
102  -78.106  126.968 -135.790
103  -14.329  153.916 -139.717
104  -34.969 -169.202 -172.629
105  -53.834  157.451 -157.323
106  -32.378  149.992 -146.627
107  113.123 -136.665 -175.289
108  -71.170 -165.604 -171.024
109  109.632 -139.132 -178.499
110   78.585 -143.154  167.882
111  162.320 -133.529 -178.488
112 -146.029  169.482 -142.149
113   34.082 -152.664 -177.137
114  -42.291 -128.808 -179.679
115   11.110  169.883 -149.677
116  177.178 -150.671 -140.839
117   85.483 -137.384 -162.340
118  -64.131  154.582 -159.743
119  160.802 -145.449  169.453
120  -52.069 -132.388  160.308
121    1.724 -148.284 -170.422
122    0.978 -147.161 -179.697
123  170.697 -145.315 -179.611
124   72.152 -134.539 -170.874
125   -1.221  179.749 -178.108
126  -97.773 -127.661  179.459
127 -166.924 -148.796 -178.588
128  -51.459 -126.844  179.692
129   46.626 -171.835 -161.119
130 -167.238 -133.398 -174.494
131  -84.186 -179.171 -154.998
132  145.267 -127.841 -171.185
133  119.423 -145.588  167.968
134  -25.436   29.921 -179.042
135   72.153  -70.017 -149.121
136  125.486    0.016 -144.182
137  148.768  -34.458 -151.809
138   42.537   20.442 -171.162
139   -6.439    7.629 -162.132
140  107.965   37.368  170.605
141 -146.598   30.217 -173.770
142    6.392   34.581 -156.431
143  111.362   32.636  175.592
144  -36.416   18.567 -159.739
145  140.255   41.625 -154.389
146  -43.124  -43.065 -166.175
147  126.385   28.854 -175.146
148   81.626   33.616  154.161
149 -142.482   59.259 -175.314
150  121.519   32.733 -175.391
151  -27.173   56.716 -174.134
152  -85.863  152.894 -178.331
153   83.390  122.465 -157.565
154   78.318  120.658 -156.571
155 -132.213  149.693  164.921
156 -169.657  104.646 -149.698
157  -49.578  142.573 -159.811
158 -143.308  142.807  178.444
159 -160.566  150.633 -178.856
160   44.728  115.055 -154.512
161  149.492  176.328  154.439
162  -58.710  147.793 -171.864
163  152.712   49.091 -162.907
164 -108.509   61.091  172.991
165  102.472   69.441  159.477
166  172.860   74.337 -159.416
167   37.963   70.135  177.886
168  -49.271  -37.727 -168.283
169  173.727  -52.598 -171.372
170  -40.179  -46.213 -168.506
171   15.968  -40.686  169.687
172  112.387  -22.284  179.929
173   91.612  -30.185 -167.953
174  169.962  -53.376  174.419
175  -81.807  -35.038  176.149
176   20.776  -57.597 -146.559
177   70.596  -24.766 -156.779
178   12.093  -47.771  177.117
179  130.727  -39.179 -174.441
180   15.272  -21.233  151.883
181 -116.390  -13.675  159.293
182  -97.754  -55.772 -147.282
183  -27.135   -9.631  176.099
184  -49.645  -28.141  177.117
185   70.448  -36.775  162.747
186 -137.834    9.507  127.718
187   55.571  -36.731 -179.099
188  164.550  -24.128 -175.931
189  107.099  -17.003  166.345
190   58.299  -20.140  162.715
191 -109.483  -36.453 -169.512
192  -63.474   52.470  137.385
193   64.574  -25.891  177.169
194 -168.196  -33.935  177.792
195  135.097  -45.581 -178.584
